主办方,计数
“兴顺福杯”中国中老年服装设计大赛组委会,1
“创祎杯”全国大学生创新创业大赛组委会,1
“创祎杯”全国大学生创新创业大赛组委会 等,1
“创祎杯”全国大学生课外学术科技作品大赛组委会,1
“创祎杯”全国大学生课外学术科技作品大赛组委会 等,1
“华孚杯”中国色纺时尚设计大赛组委会,1
“古韵杯”全国诗词征文大赛组委会,1
“名瑞杯”中国晚礼服设计大奖赛组委会,1
“向上吧，中国！”全国全民引体向上大赛,1
“喜得龙杯”中国(晋江)海峡两岸运动鞋设计大赛组委会,1
“园冶杯”风景园林国际竞赛组委会,1
“圣得西杯”中国轻商务装设计大赛组委会,1
“大浪杯”中国女装设计大赛组委会,1
“大连杯”时装画大赛组委会,1
“大连杯”青年服装设计师大赛组委会,1
“学习强国”学习平台,1
“小桃泳衣杯”中国（葫芦岛•兴城）泳装设计大赛组委会,1
“常熟服装城杯”中国休闲装设计精英大奖赛组委会,1
“新婧杯”全国大学生创新创业大赛组委会,2
“时尚自我新表达”Zdapei [最搭配] 时尚搭配大奖赛组委会,1
“昆玉杯”全国大学生创新创业大赛组委会,1
“昙华林杯”婚礼服饰设计大赛组委会,1
“校园精灵杯”中国学生装全球设计大赛组委会,1
“欧迪芬杯”中国内衣设计大赛组委会,1
“水-天地人”EP雅莹世博服装设计大赛组委会,1
“汉帛奖”中国国际青年设计师时装作品大赛组委会,1
“浩沙杯”国际泳装设计大赛组委会,1
“海创杯”全国大学生科技创新创业大赛组委会,2
“清华社杯”全国艺术英语  词汇竞赛组委会,1
“清华经管学院魏杰经济学优秀论文”奖学金,1
“爱在杭州”中国婚纱设计大赛组委会,1
“白榆杯”大学生创新创业大赛组织委员会,1
“真皮标志杯”中国国际皮革、裘皮服装设计大奖赛组委会,1
“睿诚杯”重庆“十佳制版师”大赛组委会,1
“石狮杯”服装设计大赛组委会,1
“石膏山杯”全国征文大赛组委会,1
“移动云杯”算力网络应用创新大赛（高校赛道）广东赛区组委会,1
“空间信息网络基础理论与关键技术”重大研究计划指导专家组,1
“紫香槐杯”全国网络文学大赛组委会,1
“美丽中国”新闻摄影作品有奖征集 等,1
“联合国采购杯”全国大学生英语翻译大赛组委会,1
“联合国采购杯”全国大学生英语词汇大赛组委会,1
“花开盛世”2024中国牡丹之都（菏泽）牡丹文学作品大赛,1
“虎门杯”国际青年设计（女装）大赛组委会,1
“见与行”暑期学校,1
“认证杯”数学中国数学建模 网络挑战赛组委会,1
“设想未来”大学生首饰创意设计大赛组委会,1
“语言桥杯”全国高校笔译邀请赛暨“环球网杯”新闻编译邀请赛组委会,1
“达利杯”中国老年服装设计大赛组委会,1
“远大环保杯”中国（大朗）毛织服装网上设计大赛组委会,1
“青春的纪录”环太平洋大学生微纪录作品大赛组委会,1
“高勒牧德杯”草原风时装画设计大赛组委会,1
“魅力中国 东方时尚”•OMC世界比基尼模特大赛组委会,1
“鲁绣杯”中国大学生家用纺织品创意设计大赛组委会,2
“黄河安澜”——首届甘肃生态文学征文大赛,1
⾹港中⽂⼤学校友慈善基⾦伙伴机构未圆湖书院 等,2
　教育部、国家发展改革委、科学技术部、工业和信息化部、国家民委、民政部、财政部、人力资源社会保障部、自然资源部、生态环境部、住房城乡建设部、交通运输部、水利部、农业农村部、商务部、文化和旅游部、国家卫生健康委、应急管理部、国务院国资委、国家粮食和物资储备局、中国民用航空局、国家乡村振兴局、国家中医药管理局、中华全国总工会、共青团中央、中华职业教育社、中华全国供销合作总社、中国职业技术教育学会、中国机械工业联合会、中国石油和化学工业联合会、中国物流与采购联合会、中国纺织工业联合会、中国有色金属工业协会、中国,1
《中国乡村振兴》杂志社 等,1
《中国健康心理学杂志》社,2
《中国农民合作社》编辑部,1
《中国周刊》,1
《中国就业》杂志社,5
《中国建筑教育》编辑部 等,1
《中国消防》杂志社,1
《中国版权》,1
《中国版权》杂志社,1
《中国银行保险报》 等,1
《亚太人文》杂志社,1
《人民文学》杂志社 等,1
《众创空间“中国双创好想法”2016大学生创新创业好想法国际大赛》组委会 等,1
《作文周刊》报社,3
《保健与生活》杂志社,1
《儿童文学》编辑部,1
《创业家》,1
《华夏地理》,1
《名作欣赏》杂志社,1
《大众慈善》杂志 等,1
《建筑师》杂志社 等,1
《昕薇》杂志,1
《智慧中国》杂志社,1
《智慧中国》杂志社 等,1
《智慧中国杂志社》,1
《浙江作家》 等,1
《环球人物》杂志社 等,1
《空中英语教室》杂志社,3
《第一财经日报》、中国农业银行,1
《经济》杂志社,3
《英语世界》杂志社,2
《诗刊》社,1
《诗刊》社 等,2
《诗刊》社、海南省文学艺术界联合会,1
【国家一级协会】中国城市商业网点建设管理联合会国际商务交流与外语研究分会 等,1
丁勇老师数学建模基金会,1
万方数据,1
万格文教科技实业有限公司,1
万源市宣传部 等,1
万达集团,1
万门大学,1
三七互娱,2
三亚市妇联 等,1
三亚市文化体制改革与文化产业发展办公室、三亚市文化产业协会,1
三棵树涂料股份有限公司,1
三门峡市文联 三门峡日报社,1
上汽大通,1
上汽通用五菱,1
上汽通用汽车有限公司,2
上汽集团,1
上汽集团乘用车公司,1
上海,1
上海2021年第46届世界技能大赛事务执行局 等,1
上海“互联网+”创新发展联盟,1
上海万耀企龙展览有限公司 等,1
上海上汽安悦充电科技有限公司,1
上海交大文创学院 等,1
上海交通大学,4
上海交通大学  等,1
上海交通大学 等,3
上海交通大学博闻研微网络文化工作室 等,1
上海交通大学团委,1
上海交通大学国家大学生文化素质教育基地  上海交通大学传记中心  中国艺术研究院《传记文学》杂志社,1
上海交通大学图书馆 等,1
上海交通大学外国语学院、华为技术有限公司翻译中心,1
上海交通大学船舶海洋与建筑工程学院 等,1
上海华测导航技术股份有限公司 等,1
上海博物馆 等,1
上海团市委,1
上海国际模特大赛组委会,1
上海国际设计周,1
上海外国语大学,3
上海大学  等,1
上海大学 等,3
上海大学、上海市广告协会,1
上海大学上海电影学院 等,1
上海大学教务处 等,1
上海大学教务处、上海大学机电工程与自动化学院,2
上海大学教务处、上海大学机自学院,2
上海大学文学院 等,1
上海大学新闻传播学院 等,1
上海大学生原创音乐大赛组委会,1
上海大学生电视节组委会,1
上海大数据联盟 等,4
上海学为信息科技有限公司 等,1
上海工业设计协会,1
上海工商管理专业学位研究生教育指导委员会 等,1
上海工程技术大学Artificial Intelligent X （AI-X）社团,1
上海工艺美术博物馆、上海工艺美术行业协会,1
上海市人力资源和社会保障局,1
上海市人工智能行业协会,1
上海市人工智能行业协会 等,1
上海市人民政府,1
上海市人民政府台湾事务办公室 等,1
上海市仪器仪表学会,1
上海市仪器仪表学会 等,1
上海市健康科技协会科技传播（国际）专委会 等,3
上海市健康科技协会科技传播（国际）工作委员会 等,1
上海市健康科技协会科技传播（国际）工作委员会（专委会） 等,1
上海市力学学会,2
上海市力学学会 等,1
上海市勘察设计行业协会,1
上海市司法局 等,1
上海市大学生实验室安全知识竞赛组委会,1
上海市奉贤区文化和旅游局 等,1
上海市妇女联合会 等,1
上海市学生联合会,2
上海市宝山区人才工作领导小组办公室 等,1
上海市宝山区农业农村委员会 等,2
上海市工人文化宫 等,1
上海市工商行政管理局 等,1
上海市建筑学会 等,1
上海市徐汇区市场监督管理局（知识产权局） 等,1
上海市慈善基金会 等,1
上海市慈善教育培训中心、上海设计之都促进中心,1
上海市摄影家协会 上海市突出贡献专家协会 《小康》杂志社,1
上海市教委、上海市科学技术协会,1
上海市教委高教处,1
上海市教育厅,4
上海市教育委员会,6
上海市教育委员会  上海科技馆,1
上海市教育委员会 等,2
上海市教育委员会高等教育处 等,1
上海市文化和旅游局,1
上海市文化和旅游局 等,1
上海市文学艺术界联合会 等,1
上海市旅游局,2
上海市时尚产业化妆品创新设计服务平台 等,1
上海市松江区人力资源和社会保障局 等,1
上海市松江区科学技术委员会、国家火炬上海松江洞泾人工智能特色产业基地,1
上海市民政局 等,1
上海市物理学会,1
上海市物联网行业协会,1
上海市生态文化协会 等,1
上海市知识产权局 等,1
上海市科创教育指导委员会,2
上海市科技工作党委 等,1
上海市科技翻译学会 等,1
上海市经济和信息化委员会,2
上海市网络文化协会高校专委会,1
上海市艺术教育委员会,1
上海市语言文字水平测试中心,1
上海市金融青年联合会 等,1
上海市青年创意人才协会、上海市青年文学艺术联合会、上海网络作家协会、上海电影家协会,1
上海广播电视台 等,1
上海庆科信息技术有限公司,1
上海异丽派实业有限公司,1
上海德勤税务师事务所有限公司,1
上海新兴信息通信技术应用研究院,1
上海新民晚报社 等,1
上海新锐,1
上海时尚产业发展中心,1
上海服装行业协会 等,1
上海海事大学  中国工业设计研究院  恰尔思实业（上海）有限公司  上海红双喜游艇有限公司  江苏米兰船业科创发展有限公司,1
上海物理学会,1
上海理工大学,11
上海理工大学教务处,1
上海理工大学教务处 等,1
上海理工大学数学建模,1
上海理工大学本科生院（教务处、创新创业学院） 等,1
上海理工大学机械工程学院现代电力电子实验室 等,1
上海申通德高地铁广告有限公司 等,1
上海电气（集团）总公司 等,1
上海电视艺术家协会、上海市学生事务中心,1
上海经济和信息化委员会 等,1
上海绿色低碳创新服务基地 等,1
上海艺术摄影协会 等,1
上海蓝游传媒有限公司,1
上海视觉艺术学院 等,1
上海财经大学,1
上海连源信息科技有限公司,1
上海金桥经济技术开发区管理委员会,1
世界中医药学会联合会,1
世界中医药学会联合会（翻译专业委员会、翻译中心）,1
世界互联网大会 等,1
世界医疗机器人协会 等,1
世界华文作家协会（澳门）,1
世界华文创意写作协会 等,1
世界大学生的体育协会,1
世界小姐大赛组委会,1
世界技能大赛组委会,1
世界摄影组织,1
世界未来能源峰会,1
世界机器人大赛组委会,1
世界比基尼模特大赛组委会,1
世界汉语教学学会 等,1
世界礼仪服饰设计大赛组委会,1
世界自然基金会(WWF),1
世界自由贸易区联盟,1
世界规划教育组织 等,1
世界设计组织（WDO） 等,1
世界象棋联合会,1
世界超级模特大赛组委会,1
丘成桐大学生数学竞赛学术和命题委员会 等,1
丘成桐大学生数学竞赛组委会,6
丘成桐教授 等,1
丘成桐教授发起,1
东三省高校,1
东北三省数学建模竞赛组委会,1
东北三省数学建模组委会,5
东北三省数学建模联赛组委会,16
东北三省数学建模联赛辽宁赛区组委会,1
东北三省数学建模联赛辽宁赛区组委会 等,1
东北大学校党委宣传部 等,1
东北大学秦皇岛分校大学生数学建模竞赛协会,1
东北大学秦皇岛分校数学与统计学院,4
东北师范大学启思教师技能协会,1
东北师范大学数学与统计学院学生会,1
东北师范大学数学建模协会,1
东北师范大学校团委,1
东北师范大学经济学院,1
东北师范大学经济学院团委,1
东北师范大学诚呈职业发展商业协会,1
东华大学NUEDC创新协会,1
东南大学,4
东南大学 “第五届金相技能竞赛” 等,1
东南大学 等,1
东南大学信息安全竞赛组委会,1
东南大学外国语学院,1
东南大学教务处,9
东南大学教务处 等,9
东南大学教务处、东南大学IEEE标准电脑鼠走迷宫竞赛组委会,1
东南大学教务处、东南大学RoboCup机器人组委会,1
东南大学教务处、东南大学“向经典致敬”诵读竞赛组委会,1
东南大学教务处、东南大学创意设计竞赛组委会,1
东南大学教务处、东南大学大学生CAD技术应用竞赛组委会,1
东南大学教务处、东南大学大学生计算机设计竞赛组委会,1
东南大学教务处、东南大学学大学生健康素养竞赛组委会,1
东南大学教务处、东南大学本科生创新体验竞赛组委会,1
东南大学教务处、东南大学物理实验研究论文竞赛组委会,1
东南大学教务处、东南大学电子设计竞赛组委会,1
东南大学教务处、东南大学第PLD设计竞赛组委会,1
东南大学教务处、东南大学结构创新竞赛组委会,1
东南大学教务处、东南大学英语话剧竞赛组委会,1
东南大学教务处、东南大学虚拟仪器设计竞赛组委会,1
东南大学教务处、东南大学视觉制导机器人竞赛组委会,1
东南大学教务处、共青团东南大学委员会、吴健雄学院,1
东南大学本科生2015年高等数学竞赛,1
东南大学机械工程学院 等,1
东南大学机械工程学院、东南大学方程式汽车设计竞赛组委会,1
东南大学第二届云计算应用创新大赛组委会,1
东南大学英语竞赛组委会,1
东方国信学院,3
东方时尚电视模特大赛组委会,1
东方证券 等,1
东湖高新区管委会,1
东莞市人民政府,2
东莞市人民政府 等,1
东莞市住房和城乡建设局、东莞市绿色建筑协会、世界莞商联合会、中庆集团、西牛皮、东莞茂商,1
东莞市文化馆 等,1
东莞松山湖马拉松友谊赛暨科技文化交流日活动标识设计征集大赛筹办工作组委会,1
东莞理工学院 等,1
东莞理工学院、东莞职业技术学院、东莞报业传媒集团、哈一代娱乐文化集团,1
东莞理工学院电子协会,1
东风汽车,1
东风汽车公司 等,1
中传扬帆（北京）传媒有限公司 等,1
中体未来 等,1
中信证券合肥濉溪路营业部,1
中信银行信用卡中心,1
中共三亚市委宣传部 等,1
中共上海市委宣传部,1
中共上海市委宣传部 等,2
中共上海市委宣传部、中共上海市委党史研究室、中共上海市教育卫生工作委员会、上海市教育委员会、上海市商务委员会、上海市文化和旅游局、上海市国有资产监督管理委员会、共青团上海市委员会、上海市妇女联合会、上海市社会科学界联合会、上海市文学艺术界联合会、中共一·二·四大场馆管理委员会,1
中共上海市委宣传部指导 等,1
中共上海市教育卫生工作委员会 等,2
中共上海市闵行区委宣传部、长三角会商旅文体示范区,1
中共丽水市委宣传部,1
中共丽水市委宣传部  等,1
中共丽水市委宣传部、中共丽水市委党史研究室、丽水市文广旅体局、丽水市新闻传媒,1
中共丽江市委宣传部、中共丽江市委组织部、丽江市文化和旅游局,1
中共云南省委宣传部 等,3
中共云岩区委 等,1
中共井冈山市委宣传部,1
中共保亭黎族苗族自治县委 等,1
中共北京市委宣传部 等,2
中共北京市延庆区委宣传部 等,1
中共北京市通州区委员会 等,1
中共南京市委宣传部,1
中共南京市鼓楼区委宣传部 等,1
中共厦门市海沧区委宣传部 等,1
中共合肥市委宣传部、合肥市科学技术协会,1
中共四川省纪律检查委员会 等,1
中共天津市委宣传部 等,1
中共太仓市委员会 等,1
中共太原市委宣传部 太原市文化和旅游局 太原市城镇集体工业联合社,1
中共宣城市宣州区委宣传部 等,1
中共寿县县委宣传部 等,1
中共山东省委国安办 等,1
中共山东省委宣传部,2
中共山东省委宣传部 等,4
中共常州市委宣传部 等,1
中共广东省委网络安全和信息化委员会办公室 等,1
中共广州市委宣传部 等,1
中共库伦旗委宣传部、库伦旗文学艺术界联合会、库伦旗文化和旅游局,1
中共张家口市委宣传部,1
中共张掖市委宣传部 等,1
中共德清县委人才工作领导小组办公室 等,1
中共成都市委人才工作领导小组办公室、成都市人力资源和社会保障局、成都高新区管委会,1
中共攀枝花市委宣传部 等,1
中共无锡市委宣传部、无锡市广电和旅游局,1
中共昆明市委宣传部 等,2
中共桐庐县委宣传部,1
中共武汉市委宣传部 等,1
中共江苏省委宣传部 等,6
中共江苏省委宣传部、江苏省住房和城乡建设厅联合中国建筑学会、中国勘察设计协会、中国风景园林学会,1
中共河南省委宣传部 等,1
中共泉州市委宣传部 等,1
中共泰安市委宣传部、中共泰安市委网信办,1
中共济南市委 等,1
中共济南市委外宣办 等,1
中共济南市委宣传部 等,4
中共济宁市委宣传部 等,1
中共浙江省委宣传部,1
中共浙江省委宣传部  等,1
中共浙江省委宣传部 等,3
中共浙江省委宣传部、中共浙江省委网络安全和信息化委员会办公室、浙江省广播电视局、浙江广播电视集团,1
中共海南省委自由贸易港工作委员会办公室,1
中共深圳市委宣传部 等,4
中共湖北省委宣传部 等,1
中共湖北省委宣传部、中共湖北省委网络安全和信息化委员会办公室、湖北省教育厅、湖北省人民政府国有资产监督管理委员会、湖北省广播电视局,1
中共湖南省委宣传部,1
中共湖南省委教育工作委员会 等,1
中共湖南省委教育工委、湖南省教育厅,1
中共湖南省委网络安全和信息化领导小组办公室 等,1
中共湖里区委宣传部 等,1
中共烟台市委组织部 等,1
中共瑞安市委宣传部（瑞安市新闻出版局）中共林川镇委林川镇人民政府,1
中共甘肃省委网络安全和信息化委员会办公室,1
中共石家庄市委 等,1
中共福州市委宣传部 等,1
中共福建省委宣传部,1
中共福建省委宣传部 等,1
中共绍兴市委组织部 等,1
中共美兰区委 等,1
中共聊城市委市直机关工委 等,1
中共苏州市委外宣办 等,2
中共蒙自市委宣传部 等,1
中共鄂尔多斯市委员会宣传部 等,2
中共重庆市北碚区委、重庆市北碚区人民政府、《诗刊》社、重庆市作家协会、西南大学,1
中共重庆市委宣传部 等,1
中共重庆市巫溪县委宣传部 等,1
中共重庆市渝中区委员会 等,1
中共银川市委 等,1
中共镇江市委宣传部、镇江市文化广电和旅游局,1
中共阿里地委网信办,1
中共陕西省委宣传部、中共陕西省委高教工委、陕西省新闻出版广电局、共青团陕西省委、西咸新区管理委员会、中国高等院校影视学会、中国国际影视文化交流促进会、西部电影集团有限公司,1
中共陕西省委网信办,1
中共陕西省委高教工委、陕西省教育厅、陕西省科学技术厅、陕西省人力资源和社会保障厅、陕西省中小企业促进局、陕西省西咸新区管理委员会、共青团陕西省委,1
中共青岛市委宣传部 等,1
中共高台县委 高台县人民政府 等,1
中共黄冈市委 等,1
中共黄山市委宣传部,1
中共黄梅县委宣传部、黄冈市作家协会,1
中共黑龙江省农业委员会 等,1
中共黑龙江省委奋斗杂志社、黑龙江大学,1
中共黑龙江省委宣传部、省精神文明办、黑龙江省工商管理局、黑龙江广播电视台联合主办,1
中共黑龙江省委网络安全和信息化委员会办公室,1
中关村人才市场 等,1
中关村国家实验室 等,1
中关村教育基金会,1
中关村海淀园管委会 等,1
中关村科学城管委会 等,1
中关村超互联新基建产业创新联盟,2
中关村高科技产业促进中心,1
中北大学理学院团委,1
中华人民共和国人力资源社会保障部 等,1
中华人民共和国教育部,7
中华人民共和国教育部  等,1
中华人民共和国教育部 等,4
中华人民共和国教育部、中华人民共和国科学技术部,1
中华人民共和国教育部主办 等,1
中华人民共和国科学技术部 等,1
中华人民共和国第三届职业技能大赛执委会,1
中华全国台湾同胞联谊会海峡两岸非物质文化传承发展交流基地  等,1
中华全国学生联合会 等,1
中华全国归国华侨联合会 等,1
中华出版促进会 (中宣部主管) 等,2
中华出版促进会 等,1
中华出版促进会(中央宣传部主管的国家一级社团) 等,1
中华出版促进会全媒体人才专业委员会,1
中华出版促进会全媒体人才专业委员会 等,4
中华出版促进会国际人才文化传播工作委员会,2
中华出版促进会国际人才文化传播工作委员会 等,3
中华商标协会,1
中华商标协会 等,1
中华嫁衣创意大赛组委会,1
中华散文网 等,1
中华文化产业促进会,1
中华文化促进会 等,1
中华文化促进会主持人专业委员会,1
中华文化促进会创投中心,1
中华爱子影视教育促进会,1
中华环保联合会,3
中华环保联合会青少年环境友好行动委员会,4
中华职业教育社,1
中华职业教育社 等,1
中华诗教学会 等,2
中华诗词学会   等,1
中华诗词学会  等,1
中华诗词学会 等,4
中华诗词学会创作委员会、青岛市即墨区委宣传部、即墨区文化和旅游局、即墨区融媒体中心、即墨区田横岛旅游度假区管委会,1
中华预防医学会 等,3
中南地区六省（河南、湖北、湖南、广东、广西、海南）包装技术协会（或联合会）设计委员会,1
中南地区模拟联合国大会,1
中南地区港澳特区金工研究会,1
中南大学,18
中南财经政法大学教务部,1
中原大学生微电影节组委会,1
中国“双法”研究会低碳发展管理专业委员会,1
中国•哈尔滨国际冰雪节组委会 等,2
中国•平湖服装设计大赛组委会,1
中国上海国际童书展,1
中国世界民族文化交流促进会   等,1
中国世界石油理事会国家委员会 等,1
中国丝绸协会 等,1
中国丝绸博物馆,1
中国中医药科技发展中心,1
中国中央电视台,1
中国中文信息学会 等,1
中国乐器协会 等,1
中国乡村发展协会,1
中国书法出版传媒有限责任公司 等,1
中国云南石林彝族（撒尼）刺绣旅游商品及创意文化手工艺品制作设计大赛组委会,1
中国互联网协会,5
中国互联网协会  新赢家网,1
中国互联网协会 等,3
中国互联网协会工业互联网工作委员会 等,2
中国互联网发展基金会,1
中国互联网发展基金会 等,1
中国互联网新闻中心  中国外文局CATTI项目管理中心,2
中国互联网新闻中心 等,1
中国交通报社,1
中国交通教育研究会,1
中国交通教育研究会 等,1
中国交通运输协会,1
中国交通运输协会 等,2
中国人力资源开发研究会,2
中国人口福利基金会,1
中国人工智能协会 等,1
中国人工智能学会,18
中国人工智能学会 等,22
中国人工智能学会(CAAI),1
中国人工智能学会、教育部高等学校计算机类专业教学指导委员会,1
中国人工智能学会、杭州市余杭区人民政府,1
中国人工智能学会、科技部新一代人工智能发展研究中心,1
中国人工智能学会教育工作委员会 等,1
中国人工智能学会智能产品与产业工作委员会,1
中国人工智能学会机器人足球工作委员会,1
中国人民公安大学 等,1
中国人民大学,1
中国人民大学信息资源管理学院,1
中国人民大学公共管理学院,3
中国人民大学商学院 等,1
中国人民对外友好协会 等,1
中国人民财产保险股份有限公司,1
中国人民银行数字货币研究所,1
中国人生科学学会科学文化教育融合发展专委会,1
中国人类工效学学会 等,1
中国仪器仪表学会,2
中国仪器仪表学会 等,3
中国仿真学会 等,2
中国仿真学会/西门子(中国)有限公司,1
中国企业文化促进会创业就业指导工作委员会,2
中国优选法统筹法与经济数学研究会,28
中国传媒传媒大学,1
中国传媒大学,3
中国传媒大学 等,1
中国传媒大学广告学院,1
中国传媒大学广告学院  北京市西城区文物保护管理中心,1
中国传媒大学新闻传播学部电视学院,1
中国传媒大学青果文学社  等,1
中国传统文化促进会散曲创作室 等,1
