contest_class_first,contest_class_second,contest_class_second_id,contest_end_time,contest_id,contest_name,contest_start_time,contest_url,enter_range,is_contest_status,is_exam,is_new,level_name,module,organiser,organiser_name,rank,regist_end_time,regist_start_time,thumb_pic,time_name,time_status
1001,computer,6,2025-05-24,53668,2025计算机能力竞赛暨城市联赛----算法编程赛道【第二场】,2025-05-23,vse/53668,全国,1,0,0,全国性,0,大连市计算机学会 等,主办方,0,2025-05-23,2025-03-23,https://publicqn.saikr.com/contest/thmub/cropper/upload/1742892506296images.png,正在报名,12
1005,english,19,2025-05-25,53462,2025年第五届《英语世界》杯全国大学生英语词汇大赛,2025-05-25,vse/vocabulary/2025,全国,1,0,0,全国性,0,商务印书馆《英语世界》杂志社,主办方,2,2025-05-24,2025-03-04,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740554601905images.png,正在报名,12
1001,computer,6,2025-06-29,54629,【第二场】2025计算机能力竞赛暨城市联赛——计算机素养赛道,2025-06-28,vse/54629,全国,1,0,1,全国性,0,大连市计算机学会 等,主办方,46,2025-06-27,2025-04-20,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739181354123images.png,正在报名,12
1001,computer,6,2025-08-10,54630,【第二场】2025计算机能力竞赛暨城市联赛——WEB 前端微信小程序开发团队赛道,2025-07-25,vse/54630,全国,1,0,0,全国性,0,大连市计算机学会 等,主办方,0,2025-07-25,2025-05-11,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739247824448images.png,即将报名,11
1002,physics,17,2025-04-26,52325,第二届大学生高校物理挑战赛,2025-03-12,vse/ZJWSPH2025,全国,1,0,0,全国性,0,中国智慧工程研究会职业教育专业委员会,主办方,17,2025-04-26,2024-12-23,https://publicqn.saikr.com/2025/03/31/contest67ea368a45c669.011304551743402646674.png,比赛进行中,22
1004,occupation,28,2025-05-16,53011,第二届大学生办公软件技能大赛-Word、Excel、PowerPoint竞赛,2025-01-14,vse/ZJWSOS25,全国,1,0,0,全国性,0,中国智慧工程研究会职业教育专业委员会,主办方,13,2025-05-16,2025-01-08,https://publicqn.saikr.com/2025/04/21/contest6805ec90af6667.007436631745218720837.png,比赛进行中,22
1004,society,29,2025-08-31,51494,《我爱北京》 2025全球征稿活动,2025-05-31,vse/51494,全国,3,0,0,全球性,0,首都精神文明建设委员会办公室 等,主办方,43,2025-05-31,2024-10-23,https://publicqn.saikr.com/contest/thmub/cropper/upload/1729562345585images.png,正在报名,12
1005,english,19,2025-05-14,53633,2025“外研社·国才杯”“理解当代中国”  外语能力公开赛,2025-05-14,vse/WYNLGKS2025,全国,0,0,0,全国性,0,外语教学与研究出版社,主办方,3,2025-09-18,2025-03-17,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743498654851images.png,正在报名,12
1001,computer,6,2025-07-06,53797,【国家一级协会主办】2025第四届大学生算法挑战赛（第二场）,2025-06-06,vse/53797,全国,1,0,0,全国性,0,中国机电一体化技术应用协会,主办方,0,2025-07-03,2025-04-14,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744075115728images.png,正在报名,12
1005,art_assessment,36,1970-01-01,53470,春耕图韵，共绘希望田野 —— 《中国农民合作社》春耕图片征集,1970-01-01,vse/53470,全国,0,0,0,全国性,0,《中国农民合作社》编辑部,主办方,0,2025-04-29,2025-02-26,,正在报名,12
1001,mcm,1,2025-04-28,53713,2025年河西学院第二十一届大学生数学建模竞赛,2025-04-23,vse/hxu2025,河西学院 河西学院医学院,1,0,0,校级,0,河西学院教务处,主办方,0,2025-04-23,2025-04-23,,即将报名,11
1004,occupation,28,2025-04-27,53248,【倒计时2天】2025年全国大学生高新技术竞赛—前端知识答题竞赛,2025-04-26,vse/WLQW25,全国,1,0,0,全国性,0,中国国际科技促进会物联网工作委员会,主办方,0,2025-04-24,2025-01-20,https://publicqn.saikr.com/contest/thmub/cropper/upload/1745201549337images.png,正在报名,12
1001,mcm,1,2025-04-30,53730,数学建模协会组织2025年高教社杯全国大学生数学建模竞赛（校内选拔）,2025-04-24,vse/53730,全国,1,0,0,校级,0,塔里木大学教务处,主办方,0,2025-04-25,2025-04-10,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743950201613images.png,正在报名,12
1001,computer,6,2025-04-27,53370,2025全国大学生高新技术竞赛——大模型知识创新赛,2025-04-25,vse/2025WLB/BMKIC,全国,1,0,0,全国性,0,中国国际科技促进会物联网工作委员会,主办方,0,2025-04-25,2025-02-19,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739951498892images.png,正在报名,12
1002,physics,17,2025-04-28,53667,【实操竞赛|即将开赛】2025年全国大学生高新技术竞赛—Python数据分析竞赛,2025-04-26,vse/WLPY25,全国,1,0,0,全国性,0,中国国际科技促进会物联网工作委员会,主办方,0,2025-04-25,2025-03-23,https://publicqn.saikr.com/contest/thmub/cropper/upload/1742810466700images.png,正在报名,12
1002,match,16,2025-04-26,53480,2025年全国大学生奥林匹克数学竞赛（春季赛）,2025-04-26,vse/SOIM25,全国,1,0,0,全国性,0,数学周报社,主办方,14,2025-04-26,2025-03-06,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741340719263images.png,正在报名,12
1005,english,19,2025-04-26,53772,【倒计时中】2025年全国大学生“AI+外语”大模型翻译挑战赛,2025-04-26,vse/2025AI/Translate,全国,1,0,0,全国性,0,中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,主办方,0,2025-04-26,2025-04-08,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744106024130images.png,正在报名,12
1005,speech,24,2025-04-26,53618,【倒计时中】2025年全国大学生“AI+双语” 人机协同辩论赛,2025-04-26,vse/2025AI/Debate,全国,1,0,0,全国性,0,中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,主办方,0,2025-04-26,2025-04-07,https://publicqn.saikr.com/contest/thmub/cropper/upload/1742435716128images.png,正在报名,12
1004,environment,27,2025-04-26,51064,【2天后开考】物种奇遇—生物多样性知识科普大赛,2024-08-14,vse/HelloSpecies,全国,1,0,0,全国性,0,中华环保联合会,主办方,24,2025-04-26,2024-08-15,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743390718195images.png,比赛进行中,22
1001,computer,6,2025-04-27,53376,2025“华青杯”全国大学生数字未来创新挑战赛——算法编程赛道,2025-04-27,vse/high-techPSCA/2025,全国,1,0,0,全国性,0,中国国际科技促进会青少年人工智能教育普及工作委员会,主办方,0,2025-04-26,2025-03-25,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739959175166images.png,正在报名,12
1005,english,19,2025-04-26,54606,【周六开考】第三届“中外传播杯”全国大学生英语能力挑战赛,2025-04-26,vse/NCEPC/2025,全国,1,0,0,全国性,0,中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,主办方,0,2025-04-26,2025-04-15,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744599959001images.png,正在报名,12
1002,match,16,2025-04-27,53740,2025年高校学生数学建模能力测评考试【4月场次】,2025-04-27,vse/53740,全国,1,0,0,全国性,0,工业和信息化部人才交流中心,主办方,0,2025-04-26,2025-03-31,,正在报名,12
1005,english,19,2025-04-26,53550,【初赛倒计时3天】第二届“创新实践杯”全国大学生英语词汇大赛,2025-04-26,vse/IPCEVC/2025,全国,1,0,0,全国性,0,中国商业联合会,主办方,0,2025-04-26,2025-03-24,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741598916085images.png,正在报名,12
1005,english,19,2025-04-26,53356,【证书+双会员证】第二届“智科杯”全国大学生英语词汇大赛,2025-04-26,vse/53356,全国,1,0,0,全国性,0,上海市健康科技协会科技传播（国际）工作委员会 等,主办方,0,2025-04-26,2025-03-23,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741916599807images.png,正在报名,12
1003,chuangye,3,2025-04-26,53461,【倒计时3天】第三届“创想中国” 全国大学生创新创业大赛,2025-04-26,vse/53461,全国,1,0,0,全国性,0,《中国就业》杂志社,主办方,0,2025-04-26,2025-03-16,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741940458378images.png,正在报名,12
1005,art_assessment,36,2025-04-26,53259,【倒计时3天】第三届“道法杯”全国大学生文学知识大赛,2025-04-26,vse/DFB2025,全国,1,0,0,全国性,0,浙江省老子研究会,主办方,0,2025-04-26,2025-02-10,https://publicqn.saikr.com/contest/thmub/cropper/upload/1738987082754images.png,正在报名,12
1005,english,19,2025-04-26,53359,【证书双官网认证】第二届“中促杯” 全国大学生英语翻译能力大赛,2025-04-26,vse/ZCBFY/2025,全国,1,0,0,全国性,0,中国国际科技促进会综合素质与职业发展教育专业委员会,主办方,0,2025-04-26,2025-03-04,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740994844567images.png,正在报名,12
1005,english,19,2025-04-26,53446,【证书+推荐信】第三届“中外传播杯”全国大学生英语阅读大赛,2025-04-26,vse/cfcc/2025R,全国,1,0,0,全国性,0,中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,主办方,33,2025-04-26,2025-02-27,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740714288363images.png,正在报名,12
1005,english,19,2025-04-26,52302,【最后3天】“东方创新杯”全国大学生英语词汇大赛,2025-04-26,vse/ORIENT-VOCABULARY,全国,1,0,0,全国性,0,华夏文化促进会文化和科技融合工作委员会,主办方,26,2025-04-26,2024-12-12,https://publicqn.saikr.com/2025/04/03/contest67ee00f31a91f1.435960171743651064421.png,正在报名,12
1005,english,19,2025-04-26,53714,【倒计时4天】2025年“AI.Talk” 全国大学生英语词汇大赛,2025-04-26,vse/AITalk/2025,全国,1,0,0,全国性,0,华夏文化促进会文化和科技融合工作委员会,主办方,0,2025-04-26,2025-03-31,https://publicqn.saikr.com/2025/03/27/contest67e5182323e953.756092781743067185442.png,正在报名,12
1001,big_data,34,2025-04-27,53528,【报名截止仅剩3天】2025年第四届全国大学生数据统计与分析竞赛,2025-04-27,vse/tjfx/202501,全国,1,0,0,全国性,0,中国对外贸易经济合作企业协会跨境电子商务工作委员会,主办方,48,2025-04-26,2025-03-09,https://publicqn.saikr.com/2025/03/05/contest67c829001b5c52.571834191741170965460.png,正在报名,12
1004,society,29,2025-04-26,53293,【第一场次倒计时】第三届全国大学生汉语言文字能力大赛,2025-04-26,vse/hyy3,全国,0,0,0,全国性,0,《作文周刊》报社,主办方,0,2025-04-26,2025-02-27,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739786653178images.png,正在报名,12
1005,english,19,2025-04-27,53191,【最后4天】2025“英才计划”国际大学生英语综合能力大赛,2025-04-27,vse/ICSECAC2025,全国,1,0,0,全国性,0,中华出版促进会国际人才文化传播工作委员会,主办方,0,2025-04-27,2025-01-20,https://publicqn.saikr.com/2025/01/15/contest6787779a2bae47.441368311736931319536.png,正在报名,12
1005,english,19,2025-04-29,53634,【倒计时6天】第二届“海豚杯”翻译大赛暨国际翻译人才选拔赛,2025-04-09,vse/dolphincup2,全国,1,0,0,全国性,0,中国外文局海豚出版社,主办方,0,2025-04-29,2025-04-08,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744084427237images.png,比赛进行中,22
1005,sports,32,1970-01-01,53046,“模塑申城杯·人工智能+竞赛”青少年人工智能体教融合赛项,1970-01-01,vse/53046,上海,2,0,0,省级,0,上海市人工智能行业协会,主办方,0,2025-04-29,2025-04-09,,比赛进行中,22
1004,society,29,2025-06-15,53360,90天职达未来大学生实习就业精英计划【第一期】,2025-03-16,vse/53360,全国,1,0,0,全国性,0,职此一刻,主办方,0,2025-04-29,2025-02-18,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739955316635images.png,比赛进行中,22
1001,mcm,1,2025-05-12,53808,2025年第十届数维杯大学生数学建模挑战赛（塔里木大学报名处）,2025-05-09,vse/53808,全国,1,0,0,省级,0,内蒙古创新教育学会,主办方,0,2025-04-30,2025-04-12,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744302062598images.png,正在报名,12
1001,mcm,1,2025-05-03,53728,2025年湖南大学数学建模校赛,2025-04-30,vse/hnu2025,全国,1,0,0,校级,0,湖南大学学生创新创业中心 等,主办方,0,2025-04-30,2025-03-31,,正在报名,12
1002,match,16,2025-05-04,53790,2025年上海理工大学数学建模竞赛,2025-04-30,vse/usst/mcm/2025,上海理工大学,1,0,0,校级,0,上海理工大学,主办方,0,2025-04-30,2025-04-14,,正在报名,12
1002,match,16,2025-05-04,53750,第二十七届华东杯大学生数学建模邀请赛,2025-04-30,vse/hdmcm/2025,全国,1,0,0,全国性,0,复旦大学数学科学学院,主办方,0,2025-04-30,2025-04-19,,正在报名,12
1004,occupation,28,2025-04-30,51078,【倒计时9天】2024 “创想中国 ”全国大学生简历设计大赛,2024-08-15,vse/CXCNJL2024,全国,1,0,0,全国性,0,《中国就业》杂志社,主办方,15,2025-04-30,2024-08-15,https://publicqn.saikr.com/2025/02/13/contest67adbc256abb73.587511681739439169007.png,比赛进行中,22
1004,tiaozhanbei,7,1970-01-01,51698,第七届 CRH 杂交水稻杯机器人创客大赛 暨（19省）跨区域科创与科普大会,1970-01-01,vse/51698,全国,0,0,0,全国性,0,湖南省机器人科技教育学会 等,主办方,0,2025-04-30,2024-12-22,https://publicqn.saikr.com/2025/01/23/contest679206e2263f79.556739671737623284335.png,正在报名,12
1001,mcm,1,2025-05-07,53545,银川科技学院第十一届数学建模竞赛,2025-05-01,vse/53545,全国,1,0,0,全国性,0,银川科技学院,主办方,0,2025-04-30,2025-03-08,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741524512890images.png,正在报名,12
1005,english,19,1970-01-01,53582,2025年CATTI笔译集训营,1970-01-01,vse/CATTIJXY2025,全国,3,0,0,其他,0,中国外文局教育培训中心  ,主办方,0,2025-04-30,2025-03-19,https://publicqn.saikr.com/contest/thmub/cropper/upload/1742801247545images.png,正在报名,12
1001,mcm,1,2025-06-10,53678,关于举办中南大学第二十届数学建模竞赛的通知,2025-03-24,vse/csumcm2025,中南大学,1,0,0,校级,0,中南大学,主办方,0,2025-04-30,2025-03-23,,比赛进行中,22
1001,mcm,1,2025-05-12,54644,2025年第五届农林杯高校数学建模竞赛,2025-05-09,vse/NLB/2025,全国,1,0,1,全国性,0,北京农学院,主办方,0,2025-05-09,2025-04-21,,正在报名,12
1005,art_assessment,36,2025-05-19,53213,【五一赛段正式开启】第二届“华文奖”全国大学生文化创新-文旅创作大赛,2025-03-13,vse/HWJWL1/2025,全国,1,0,0,全国性,0,华夏文化促进会素质教育委员会,主办单位,28,2025-05-09,2025-01-20,https://publicqn.saikr.com/2025/04/16/contest67ff16864590e2.397683571744770722105.png,比赛进行中,22
1001,computer,6,2025-05-11,53326,2025年度第六届全国大学生算法设计与编程挑战赛（春季赛）,2025-05-11,vse/adpc/2025/spring,全国,1,0,0,全国性,0,天津市未来与预测科学研究会,主办方,23,2025-05-09,2025-02-11,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741398975825images.png,正在报名,12
1005,technology,33,2025-05-09,53313,【征稿】“悦·读者杯”2025年全国青少年元宵节知识大赛,2025-02-09,vse/53313,全国,1,0,0,全国性,0,读者杂志社,主办方,0,2025-05-09,2025-02-09,,比赛进行中,22
1004,society,29,2025-05-10,53444,第六届全国大学生普通话挑战赛,2025-05-10,vse/NPCCS2025S,全国,1,0,0,全国性,0,中国广播影视培训网 等,主办方,50,2025-05-10,2025-02-28,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740477038896images.png,正在报名,12
1005,english,19,2025-05-10,53753,2025年“本草翻译官” 全国大学生外语翻译大赛,2025-05-10,vse/2025MMT,全国,1,0,0,全国性,0,华夏文化促进会国医文化传承专业委员会,主办方,0,2025-05-10,2025-04-16,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744794311244images.png,正在报名,12
1004,society,29,2025-05-10,53756,第二届大学生职业（财会）职业技能大赛,2025-05-10,vse/ZJWSFA2ND,全国,1,0,0,全国性,0,中国智慧工程研究会职业教育专业委员会,主办方,0,2025-05-10,2025-04-08,https://publicqn.saikr.com/contest/thmub/cropper/upload/1745201166600images.png,正在报名,12
1005,english,19,2025-05-10,53710,【国家一级协会主办】第三届“ETTBL杯”全国大学生英语写作大赛,2025-04-19,vse/ETTBL/WRITING/THIRD,全国,1,0,0,全国性,0,中国商业联合会,主办单位,0,2025-05-10,2025-03-31,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743039265451images.png,比赛进行中,22
1004,society,29,2025-05-11,53757,第二届大学生职业（教资）职业技能大赛,2025-05-11,vse/ZJWSTQ2nd,全国,1,0,0,全国性,0,中国智慧工程研究会职业教育专业委员会,主办方,0,2025-05-11,2025-04-08,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744016817850images.png,正在报名,12
1005,art_assessment,36,2025-05-11,53396,【免费参赛】第二届“奇幻未来”全国大学生动漫设计大赛,2025-02-19,vse/qhwl2,全国,1,0,0,全国性,0,中华出版促进会国际人才文化传播工作委员会 等,主办方,0,2025-05-11,2025-02-19,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740015188999images.png,比赛进行中,22
1002,match,16,2025-05-19,53619,2025年第五届长三角高校数学建模竞赛,2025-05-15,vse/YRDMCM/2025,全国,1,0,0,全国性,0,浙江省数学会,主办单位,0,2025-05-15,2025-03-18,https://publicqn.saikr.com/contest/thmub/cropper/upload/1742438248051images.png,正在报名,12
1005,speech,24,2025-05-15,53507,【签约机会】2025“海豚杯”多语种配音人才挑战赛,2025-03-19,vse/dolphincup2025/voice,全国,1,0,0,全国性,0,中国外文局海豚出版社,主办单位,42,2025-05-15,2025-03-19,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741598859677images.png,比赛进行中,22
1005,art_assessment,36,2025-05-15,53328,【助力综测】第二届“华文奖”全国大学生文化创新-传统文化大赛,2025-02-16,vse/CTWH1/2025,全国,1,0,0,全国性,0,华夏文化促进会素质教育委员会,主办方,32,2025-05-15,2025-02-16,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739870450034images.png,比赛进行中,22
1004,society,29,2025-05-15,51077,【免费参与】全国高校青年珠峰知识科普宣传活动-宣传语创作赛道,2024-08-15,vse/zfhd,全国,1,0,0,全国性,0,中国邮政集团有限公司林芝市分公司 等,主办方,31,2025-05-15,2024-08-15,https://publicqn.saikr.com/2025/01/24/contest6792e90b4c0701.053922341737681179927.png,比赛进行中,22
1001,computer,6,2025-05-16,53738,【第二场初赛】2025年“开发者”算法编程挑战赛,2025-03-31,vse/53738,全国,1,0,0,全国性,0,湖北省计算机信息系统集成协会,主办方,0,2025-05-16,2025-03-31,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740018517281images.png,比赛进行中,22
1005,english,19,2025-05-17,53372,第三届“ETTBL杯”全国大学生英语词汇大赛,2025-05-17,vse/ETTBL/VOCABULARY/THIRD,全国,1,0,0,全国性,0,中国商业联合会,主办单位,0,2025-05-16,2025-02-28,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740629132612images.png,正在报名,12
1004,society,29,2025-05-17,53711,第二届“一带一路”全国大学生知识文化大赛,2025-05-17,vse/YDYLZS,全国,1,0,0,全国性,0,中国欧洲经济技术合作协会一带一路经济文化工作委员会,主办单位,0,2025-05-17,2025-03-31,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743056061523images.png,正在报名,12
1004,society,29,2025-05-17,53368,【4月26日开考】2025 年第六届大学生“丝绸之路”主题知识竞赛,2025-02-19,vse/silkroad2025,全国,1,0,0,全国性,0,中国对外贸易经济合作企业协会跨境电子商务工作委员会,主办方,38,2025-05-17,2025-02-19,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740040501738images.png,比赛进行中,22
1005,english,19,2025-05-17,53375,【第三场报名中】第二届“国兴奖”全国大学生英语词汇大赛,2025-05-17,vse/GXJNCSEVC,全国,1,0,0,全国性,0,中国国际科技促进会乡村振兴工作委员会,主办方,20,2025-05-17,2025-02-20,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739958125943images.png,正在报名,12
1005,english,19,2025-05-17,53559,【证书+推荐信】第三届“中外传播杯”全国大学生英语词汇大赛,2025-05-17,vse/word/2025,全国,1,0,0,全国性,0,中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,主办方,30,2025-05-17,2025-03-12,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741657994374images.png,正在报名,12
1005,english,19,2025-05-17,53732,【首场报名】第二届“中国故事大赛·双语中国”全国大学生英语词汇大赛,2025-05-17,vse/2025/SYZG/BV,全国,1,0,0,全国性,0,中国寓言文学研究会教育教学专业委员会,主办方,0,2025-05-17,2025-04-02,https://publicqn.saikr.com/2025/04/01/contest67ebb3ec8effb9.226214711743500392090.png,正在报名,12
1002,match,16,2025-05-26,53893,关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数模选拔赛,2025-05-23,vse/2025MCIM,福州大学,1,0,0,校级,0,福州大学教务处,主办方,0,2025-05-19,2025-04-13,,正在报名,12
1005,english,19,2025-05-21,53260,【第二场报名】第二届“中国故事大赛·双语中国”全国大学生外语翻译大赛,2025-02-17,vse/2025/SYZG/T,全国,1,0,0,全国性,0,中国寓言文学研究会教育教学专业委员会,主办单位,25,2025-05-21,2025-02-17,https://publicqn.saikr.com/2025/02/13/contest67adb2b56965f4.003523941739436771350.png,比赛进行中,22
1001,mcm,1,2025-05-26,53768,2025年第十七届“中国电机工程学会杯”全国大学生电工数学建模竞赛,2025-05-23,vse/EECMCM2025,全国,1,0,0,全国性,0,中国电机工程学会,主办方,8,2025-05-21,2025-04-09,,正在报名,12
1005,english,19,2025-05-25,53231,第二届“一带一路”全国大学生英语演讲大赛,2025-01-21,vse/2025Speech,全国,1,0,0,全国性,0,中国欧洲经济技术合作协会一带一路经济文化工作委员会,主办方,49,2025-05-21,2025-01-21,https://publicqn.saikr.com/contest/thmub/cropper/upload/1737356070782images.png,比赛进行中,22
1005,english,19,2025-05-22,53749,2025“中促杯” 全国青年英语写作挑战赛,2025-05-01,vse/ZCBXZ/2025,全国,1,0,0,全国性,0,中国国际科技促进会综合素质与职业发展教育专业委员会,主办单位,0,2025-05-22,2025-04-17,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744855185265images.png,正在报名,12
1001,mcm,1,2025-05-28,54603,2025江西财经大学数学建模竞赛,2025-05-23,vse/JUFEMCM2025,江西财经大学,1,0,0,校级,0,江西财经大学创业学院 等,主办方,0,2025-05-23,2025-04-13,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744601369916images.png,正在报名,12
1001,computer,6,2025-05-26,53449,2025年APMCM亚太地区大学生大模型竞赛,2025-05-23,vse/apmcm/202501,全国,1,0,0,全国性,0,中国国际科技促进会物联网工作委员会 等,主办方,0,2025-05-23,2025-02-24,https://publicqn.saikr.com/2025/02/25/contest67bd891e87fa20.441178021740474668657.png,正在报名,12
1001,computer,6,2025-05-25,53574,2025年全国大学生新质生产力大赛——办公软件智慧应用竞赛,2025-05-24,vse/NQPF/2025/OFFICE,全国,1,0,0,全国性,0,中国国际科技促进会物联网工作委员会,主办方,0,2025-05-23,2025-03-13,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741940061314images.png,正在报名,12
1001,computer,6,2025-05-25,53377,2025“华青杯”全国大学生数字未来创新挑战赛——知识竞答赛道,2025-05-24,vse/high-techPSCK/2025,全国,1,0,0,全国性,0,中国国际科技促进会青少年人工智能教育普及工作委员会,主办方,0,2025-05-23,2025-02-19,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739960987612images.png,正在报名,12
1005,english,19,2025-06-08,53774,联合国语言人才培训体系（UNLPP）2025年上半年口笔译考试,2025-06-07,vse/unlpp,全国,1,1,0,全国性,0,联合国语言人才培训体系考试中心,主办方,0,2025-05-24,2025-03-24,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744172910777images.png,正在报名,12
1005,english,19,2025-05-24,53209,【高含金赛】第三届“BETT杯”全国大学生英语语法大赛,2025-05-24,vse/bett-grammar-third,全国,1,0,0,全国性,0,中国城市商业网点建设管理联合会国际商务交流与外语研究分会,主办方,10,2025-05-24,2025-02-26,https://publicqn.saikr.com/2025/04/21/contest6805a55349c073.028068951745200493620.png,正在报名,12
